level1_code,level1_name,level2_code,level2_name,level3_code,level3_name
110000,农林牧渔,110100,种植业,110101,种子生产
110000,农林牧渔,110100,种植业,110102,粮食种植
110000,农林牧渔,110100,种植业,110103,其他种植业
110000,农林牧渔,110200,渔业,110201,海洋捕捞
110000,农林牧渔,110200,渔业,110202,水产养殖
110000,农林牧渔,110300,林业,110301,林业
110000,农林牧渔,110400,饲料,110401,饲料
110000,农林牧渔,110500,农产品加工,110501,果蔬加工
110000,农林牧渔,110500,农产品加工,110502,粮油加工
110000,农林牧渔,110500,农产品加工,110504,其他农产品加工
110000,农林牧渔,110600,农业综合,110601,农业综合
110000,农林牧渔,110700,畜禽养殖,110701,畜禽养殖
110000,农林牧渔,110800,动物保健,110801,动物保健
210000,采掘,210100,石油开采,210101,石油开采
210000,采掘,210200,煤炭开采,210201,煤炭开采
210000,采掘,210200,煤炭开采,210202,焦炭加工
210000,采掘,210300,其他采掘,210301,其他采掘
210000,采掘,210400,采掘服务,210401,油气钻采服务
210000,采掘,210400,采掘服务,210402,其他采掘服务
220000,化工,220100,石油化工,220101,石油加工
220000,化工,220100,石油化工,220103,石油贸易
220000,化工,220200,化学原料,220201,纯碱
220000,化工,220200,化学原料,220202,氯碱
220000,化工,220200,化学原料,220203,无机盐
220000,化工,220200,化学原料,220204,其他化学原料
220000,化工,220300,化学制品,220301,氮肥
220000,化工,220300,化学制品,220302,磷肥
220000,化工,220300,化学制品,220303,农药
220000,化工,220300,化学制品,220304,日用化学产品
220000,化工,220300,化学制品,220305,涂料油漆油墨制造
220000,化工,220300,化学制品,220306,钾肥
220000,化工,220300,化学制品,220307,民爆用品
220000,化工,220300,化学制品,220308,纺织化学用品
220000,化工,220300,化学制品,220309,其他化学制品
220000,化工,220300,化学制品,220310,复合肥
220000,化工,220300,化学制品,220311,氟化工及制冷剂
220000,化工,220300,化学制品,220312,磷化工及磷酸盐
220000,化工,220300,化学制品,220313,聚氨酯
220000,化工,220300,化学制品,220314,玻纤
220000,化工,220400,化学纤维,220401,涤纶
220000,化工,220400,化学纤维,220402,维纶
220000,化工,220400,化学纤维,220403,粘胶
220000,化工,220400,化学纤维,220404,其他纤维
220000,化工,220400,化学纤维,220405,氨纶
220000,化工,220500,塑料,220501,其他塑料制品
220000,化工,220500,塑料,220502,合成革
220000,化工,220500,塑料,220503,改性塑料
220000,化工,220600,橡胶,220601,轮胎
220000,化工,220600,橡胶,220602,其他橡胶制品
220000,化工,220600,橡胶,220603,炭黑
230000,钢铁,230100,钢铁,230101,普钢
230000,钢铁,230100,钢铁,230102,特钢
240000,有色金属,240200,金属非金属新材料,240201,金属新材料
240000,有色金属,240200,金属非金属新材料,240202,磁性材料
240000,有色金属,240200,金属非金属新材料,240203,非金属新材料
240000,有色金属,240300,工业金属,240301,铝
240000,有色金属,240300,工业金属,240302,铜
240000,有色金属,240300,工业金属,240303,铅锌
240000,有色金属,240400,黄金,240401,黄金
240000,有色金属,240500,稀有金属,240501,稀土
240000,有色金属,240500,稀有金属,240502,钨
240000,有色金属,240500,稀有金属,240503,锂
240000,有色金属,240500,稀有金属,240504,其他稀有小金属
270000,电子,270100,半导体,270101,集成电路
270000,电子,270100,半导体,270102,分立器件
270000,电子,270100,半导体,270103,半导体材料
270000,电子,270200,元件,270202,印制电路板
270000,电子,270200,元件,270203,被动元件
270000,电子,270300,光学光电子,270301,显示器件
270000,电子,270300,光学光电子,270302,LED
