code,level_1,level_2,level_3
110000,农林牧渔,,
110100,农林牧渔,种植业,
110101,农林牧渔,种植业,种子
110102,农林牧渔,种植业,粮食种植
110103,农林牧渔,种植业,其他种植业
110104,农林牧渔,种植业,食用菌
110200,农林牧渔,渔业,
110201,农林牧渔,渔业,海洋捕捞
110202,农林牧渔,渔业,水产养殖
110300,农林牧渔,林业Ⅱ,
110301,农林牧渔,林业Ⅱ,林业Ⅲ
110400,农林牧渔,饲料,
110402,农林牧渔,饲料,畜禽饲料
110403,农林牧渔,饲料,水产饲料
110404,农林牧渔,饲料,宠物食品
110500,农林牧渔,农产品加工,
110501,农林牧渔,农产品加工,果蔬加工
110502,农林牧渔,农产品加工,粮油加工
110504,农林牧渔,农产品加工,其他农产品加工
110700,农林牧渔,养殖业,
110702,农林牧渔,养殖业,生猪养殖
110703,农林牧渔,养殖业,肉鸡养殖
110704,农林牧渔,养殖业,其他养殖
110800,农林牧渔,动物保健Ⅱ,
110801,农林牧渔,动物保健Ⅱ,动物保健Ⅲ
110900,农林牧渔,农业综合Ⅱ,
110901,农林牧渔,农业综合Ⅱ,农业综合Ⅲ
220000,基础化工,,
220200,基础化工,化学原料,
220201,基础化工,化学原料,纯碱
220202,基础化工,化学原料,氯碱
220203,基础化工,化学原料,无机盐
220204,基础化工,化学原料,其他化学原料
220205,基础化工,化学原料,煤化工
220206,基础化工,化学原料,钛白粉
220300,基础化工,化学制品,
220305,基础化工,化学制品,涂料油墨
220307,基础化工,化学制品,民爆制品
220308,基础化工,化学制品,纺织化学制品
220309,基础化工,化学制品,其他化学制品
220311,基础化工,化学制品,氟化工
220313,基础化工,化学制品,聚氨酯
220315,基础化工,化学制品,食品及饲料添加剂
220316,基础化工,化学制品,有机硅
220317,基础化工,化学制品,胶黏剂及胶带
220400,基础化工,化学纤维,
220401,基础化工,化学纤维,涤纶
220403,基础化工,化学纤维,粘胶
220404,基础化工,化学纤维,其他化学纤维
220405,基础化工,化学纤维,氨纶
220406,基础化工,化学纤维,锦纶
220500,基础化工,塑料,
220501,基础化工,塑料,其他塑料制品
220503,基础化工,塑料,改性塑料
220504,基础化工,塑料,合成树脂
220505,基础化工,塑料,膜材料
220600,基础化工,橡胶,
220602,基础化工,橡胶,其他橡胶制品
220603,基础化工,橡胶,炭黑
220604,基础化工,橡胶,橡胶助剂
220800,基础化工,农化制品,
220801,基础化工,农化制品,氮肥
220802,基础化工,农化制品,磷肥及磷化工
220803,基础化工,农化制品,农药
220804,基础化工,农化制品,钾肥
220805,基础化工,农化制品,复合肥
220900,基础化工,非金属材料Ⅱ,
220901,基础化工,非金属材料Ⅱ,非金属材料Ⅲ
230000,钢铁,,
230300,钢铁,冶钢原料,
230301,钢铁,冶钢原料,铁矿石
230302,钢铁,冶钢原料,冶钢辅料
230400,钢铁,普钢,
230401,钢铁,普钢,长材
230402,钢铁,普钢,板材
230403,钢铁,普钢,钢铁管材
230500,钢铁,特钢Ⅱ,
230501,钢铁,特钢Ⅱ,特钢Ⅲ
240000,有色金属,,
240200,有色金属,金属新材料,
240201,有色金属,金属新材料,其他金属新材料
240202,有色金属,金属新材料,磁性材料
240300,有色金属,工业金属,
240301,有色金属,工业金属,铝
240302,有色金属,工业金属,铜
240303,有色金属,工业金属,铅锌
240400,有色金属,贵金属,
240401,有色金属,贵金属,黄金
240402,有色金属,贵金属,白银
240500,有色金属,小金属,
240501,有色金属,小金属,稀土
240502,有色金属,小金属,钨
240504,有色金属,小金属,其他小金属
240505,有色金属,小金属,钼
240600,有色金属,能源金属,
240601,有色金属,能源金属,钴
240602,有色金属,能源金属,镍
240603,有色金属,能源金属,锂
270000,电子,,
270100,电子,半导体,
270102,电子,半导体,分立器件
270103,电子,半导体,半导体材料
270104,电子,半导体,数字芯片设计
270105,电子,半导体,模拟芯片设计
270106,电子,半导体,集成电路制造
270107,电子,半导体,集成电路封测
270108,电子,半导体,半导体设备
270200,电子,元件,
270202,电子,元件,印制电路板
270203,电子,元件,被动元件
270300,电子,光学光电子,
270301,电子,光学光电子,面板
270302,电子,光学光电子,LED
270303,电子,光学光电子,光学元件
270400,电子,其他电子Ⅱ,
270401,电子,其他电子Ⅱ,其他电子Ⅲ
270500,电子,消费电子,
270503,电子,消费电子,品牌消费电子
270504,电子,消费电子,消费电子零部件及组装
270600,电子,电子化学品Ⅱ,
270601,电子,电子化学品Ⅱ,电子化学品Ⅲ
280000,汽车,,
280601,汽车,商用车,商用载货车
280602,汽车,商用车,商用载客车
280200,汽车,汽车零部件,
280202,汽车,汽车零部件,车身附件及饰件
280203,汽车,汽车零部件,底盘与发动机系统
280204,汽车,汽车零部件,轮胎轮毂
280205,汽车,汽车零部件,其他汽车零部件
280206,汽车,汽车零部件,汽车电子电气系统
280300,汽车,汽车服务,
280302,汽车,汽车服务,汽车经销商
280303,汽车,汽车服务,汽车综合服务
280400,汽车,摩托车及其他,
280401,汽车,摩托车及其他,其他运输设备
280402,汽车,摩托车及其他,摩托车
280500,汽车,乘用车,
280501,汽车,乘用车,电动乘用车
280502,汽车,乘用车,综合乘用车
280600,汽车,商用车,
330000,家用电器,,
330100,家用电器,白色家电,
330102,家用电器,白色家电,空调
330106,家用电器,白色家电,冰洗
330200,家用电器,黑色家电,
330201,家用电器,黑色家电,彩电
330202,家用电器,黑色家电,其他黑色家电
330300,家用电器,小家电,
330301,家用电器,小家电,厨房小家电
330302,家用电器,小家电,清洁小家电
330303,家用电器,小家电,个护小家电
330400,家用电器,厨卫电器,
330401,家用电器,厨卫电器,厨房电器
330402,家用电器,厨卫电器,卫浴电器
330500,家用电器,照明设备Ⅱ,
330501,家用电器,照明设备Ⅱ,照明设备Ⅲ
330600,家用电器,家电零部件Ⅱ,
330601,家用电器,家电零部件Ⅱ,家电零部件Ⅲ
330700,家用电器,其他家电Ⅱ,
330701,家用电器,其他家电Ⅱ,其他家电Ⅲ
340000,食品饮料,,
340400,食品饮料,食品加工,
340401,食品饮料,食品加工,肉制品
340404,食品饮料,食品加工,其他食品
340406,食品饮料,食品加工,预加工食品
340407,食品饮料,食品加工,保健品
340500,食品饮料,白酒Ⅱ,
340501,食品饮料,白酒Ⅱ,白酒Ⅲ
340600,食品饮料,非白酒,
340601,食品饮料,非白酒,啤酒
340602,食品饮料,非白酒,其他酒类
340700,食品饮料,饮料乳品,
340701,食品饮料,饮料乳品,软饮料
340702,食品饮料,饮料乳品,乳品
340800,食品饮料,休闲食品,
340801,食品饮料,休闲食品,零食
340802,食品饮料,休闲食品,烘焙食品
340803,食品饮料,休闲食品,熟食
340900,食品饮料,调味发酵品Ⅱ,
340901,食品饮料,调味发酵品Ⅱ,调味发酵品Ⅲ
350000,纺织服饰,,
350100,纺织服饰,纺织制造,
350104,纺织服饰,纺织制造,印染
350105,纺织服饰,纺织制造,辅料
350106,纺织服饰,纺织制造,其他纺织
350107,纺织服饰,纺织制造,纺织鞋类制造
350200,纺织服饰,服装家纺,
350205,纺织服饰,服装家纺,鞋帽及其他
350206,纺织服饰,服装家纺,家纺
350208,纺织服饰,服装家纺,运动服装
350209,纺织服饰,服装家纺,非运动服装
350300,纺织服饰,饰品,
350301,纺织服饰,饰品,钟表珠宝
350302,纺织服饰,饰品,多品类奢侈品
350303,纺织服饰,饰品,其他饰品
360000,轻工制造,,
360100,轻工制造,造纸,
360102,轻工制造,造纸,大宗用纸
360103,轻工制造,造纸,特种纸
360200,轻工制造,包装印刷,
360202,轻工制造,包装印刷,印刷
360203,轻工制造,包装印刷,金属包装
360204,轻工制造,包装印刷,塑料包装
360205,轻工制造,包装印刷,纸包装
360206,轻工制造,包装印刷,综合包装
360300,轻工制造,家居用品,
360306,轻工制造,家居用品,瓷砖地板
360307,轻工制造,家居用品,成品家居
360308,轻工制造,家居用品,定制家居
360309,轻工制造,家居用品,卫浴制品
360311,轻工制造,家居用品,其他家居用品
360500,轻工制造,文娱用品,
360501,轻工制造,文娱用品,文化用品
360502,轻工制造,文娱用品,娱乐用品
370000,医药生物,,
370100,医药生物,化学制药,
370101,医药生物,化学制药,原料药
370102,医药生物,化学制药,化学制剂
370200,医药生物,中药Ⅱ,
370201,医药生物,中药Ⅱ,中药Ⅲ
370300,医药生物,生物制品,
370302,医药生物,生物制品,血液制品
370303,医药生物,生物制品,疫苗
370304,医药生物,生物制品,其他生物制品
370400,医药生物,医药商业,
370402,医药生物,医药商业,医药流通
370403,医药生物,医药商业,线下药店
370404,医药生物,医药商业,互联网药店
370500,医药生物,医疗器械,
370502,医药生物,医疗器械,医疗设备
370503,医药生物,医疗器械,医疗耗材
370504,医药生物,医疗器械,体外诊断
370600,医药生物,医疗服务,
370602,医药生物,医疗服务,诊断服务
370603,医药生物,医疗服务,医疗研发外包
370604,医药生物,医疗服务,医院
370605,医药生物,医疗服务,其他医疗服务
410000,公用事业,,
410100,公用事业,电力,
410101,公用事业,电力,火力发电
410102,公用事业,电力,水力发电
410104,公用事业,电力,热力服务
410106,公用事业,电力,光伏发电
410107,公用事业,电力,风力发电
410108,公用事业,电力,核力发电
410109,公用事业,电力,其他能源发电
410110,公用事业,电力,电能综合服务
410300,公用事业,燃气Ⅱ,
410301,公用事业,燃气Ⅱ,燃气Ⅲ
420000,交通运输,,
421102,交通运输,航运港口,港口
420800,交通运输,物流,
420802,交通运输,物流,原材料供应链服务
420803,交通运输,物流,中间产品及消费品供应链服务
420804,交通运输,物流,快递
420805,交通运输,物流,跨境物流
420806,交通运输,物流,仓储物流
420807,交通运输,物流,公路货运
420900,交通运输,铁路公路,
420901,交通运输,铁路公路,高速公路
420902,交通运输,铁路公路,公交
420903,交通运输,铁路公路,铁路运输
421000,交通运输,航空机场,
421001,交通运输,航空机场,航空运输
421002,交通运输,航空机场,机场
421100,交通运输,航运港口,
421101,交通运输,航运港口,航运
430000,房地产,,
430100,房地产,房地产开发,
430101,房地产,房地产开发,住宅开发
430102,房地产,房地产开发,商业地产
430103,房地产,房地产开发,产业地产
430300,房地产,房地产服务,
430301,房地产,房地产服务,物业管理
430302,房地产,房地产服务,房产租赁经纪
430303,房地产,房地产服务,房地产综合服务
450000,商贸零售,,
450200,商贸零售,贸易Ⅱ,
450201,商贸零售,贸易Ⅱ,贸易Ⅲ
450300,商贸零售,一般零售,
450301,商贸零售,一般零售,百货
450302,商贸零售,一般零售,超市
450303,商贸零售,一般零售,多业态零售
450304,商贸零售,一般零售,商业物业经营
450400,商贸零售,专业连锁Ⅱ,
450401,商贸零售,专业连锁Ⅱ,专业连锁Ⅲ
450600,商贸零售,互联网电商,
450601,商贸零售,互联网电商,综合电商
450602,商贸零售,互联网电商,跨境电商
450603,商贸零售,互联网电商,电商服务
450700,商贸零售,旅游零售Ⅱ,
450701,商贸零售,旅游零售Ⅱ,旅游零售Ⅲ
460000,社会服务,,
460600,社会服务,体育Ⅱ,
460601,社会服务,体育Ⅱ,体育Ⅲ
460700,社会服务,本地生活服务Ⅱ,
460701,社会服务,本地生活服务Ⅱ,本地生活服务Ⅲ
460800,社会服务,专业服务,
460801,社会服务,专业服务,人力资源服务
460802,社会服务,专业服务,检测服务
460803,社会服务,专业服务,会展服务
460804,社会服务,专业服务,其他专业服务
460900,社会服务,酒店餐饮,
460901,社会服务,酒店餐饮,酒店
460902,社会服务,酒店餐饮,餐饮
461000,社会服务,旅游及景区,
461001,社会服务,旅游及景区,博彩
461002,社会服务,旅游及景区,人工景区
461003,社会服务,旅游及景区,自然景区
461004,社会服务,旅游及景区,旅游综合
461100,社会服务,教育,
461101,社会服务,教育,学历教育
